sample_id,sample,pangolin_lineage,nextclade_clade,vadr_p/f,fastqc_raw_reads_1,fastqc_raw_reads_2,fastp_reads_passed,depth_after_trimming,1X_coverage_after_trimming,num_pos_100X,insert_size_before_trimming,insert_size_after_trimming,ivar_num_variants_identified,bedtools_num_failed_amplicons,samtools_num_failed_amplicons,num_N,num_degenerage,num_non-ambiguous,num_total,cleaner_version,aligner_version,trimmer_version,ivar_version,vadr_model,vadr_alerts,nextclade_qc.overallScore,nextclade_qc.overallStatus,pangolin_scorpio_call,pangolin_version,pangolin_pangolin_version,pangolin_pangoLEARN_version,pangolin_pango_version,pangolin_status
SRR13373851,SRR13373851,B.1.492,20C,PASS,184210,184210,358288,1656.81,99.8428,29734,149.8,149.8,8,0,0,124,0,29743,29867,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.000000,good,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR12901576,SRR12901576,B.1.515,20C,PASS,363267,363267,716516,3331.57,99.4482,29007,257.3,257.3,7,0,0,887,0,29013,29900,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,4.726598,good,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR16298171,SRR16298171,B.1,20C,FAIL,356628,356628,705516,2656.32,94.5424,25742,155.1,155.1,33,2,4,4114,1,25764,29879,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,807.486228,bad,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
ERR5556343,ERR5556343,P.1,"20J (Gamma, V3)",PASS,216817,216817,433046,2675.35,99.6756,28030,386.4,386.4,32,0,0,1766,0,28035,29801,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,29.480878,good,Gamma (P.1-like),PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13689874,SRR13689874,B.1.1.512,20B,PASS,301254,301254,600498,2747.44,99.9565,29498,226.8,226.8,27,0,0,401,0,29501,29902,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,21.146876,good,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR16298167,SRR16298167,None,,,1330,1330,1058,0.0461158,3.34415,0,286.0,286.0,0,98,98,14209,0,0,14209,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,,,,,,PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,fail
SRR16298158,SRR16298158,None,20A,FAIL,300310,300310,591874,799.286,43.31,5526,142.1,142.2,8,66,69,24336,1,5527,29864,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,7982.206049,bad,,PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,fail
SRR13422799,SRR13422799,B.1.429,21C (Epsilon),PASS,76082,76082,148696,1086.76,99.8261,29256,383.3,383.6,31,0,1,595,0,29256,29851,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,1.193759,good,Epsilon (B.1.429-like),PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR11577968,SRR11577968,B.1.320,20C,PASS,436687,436687,865216,4094.85,99.8361,29681,256.6,256.7,7,0,0,172,0,29682,29854,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.000000,good,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR16298174,SRR16298174,None,,,148231,148231,292562,0.424941,22.3422,0,148.9,148.8,0,98,98,29441,0,0,29441,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,,,,,,PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,fail
