sample_id,sample,pangolin_lineage,nextclade_clade,fastqc_raw_reads_1,fastqc_raw_reads_2,depth_after_trimming,1X_coverage_after_trimming,num_pos_100X,insert_size_after_trimming,ivar_num_variants_identified,bcftools_variants_identified,bedtools_num_failed_amplicons,samtools_num_failed_amplicons,num_N,num_degenerage,num_non-ambiguous,num_total,cleaner_version,aligner_version,trimmer_version,ivar_version,nextclade_qc.overallScore,nextclade_qc.overallStatus,pangolin_conflict,pangolin_ambiguity_score,pangolin_scorpio_call,pangolin_scorpio_support,pangolin_scorpio_conflict,pangolin_scorpio_notes,pangolin_version,pangolin_pangolin_version,pangolin_scorpio_version,pangolin_constellation_version,pangolin_is_designated,pangolin_qc_status,pangolin_qc_notes,pangolin_note,freyja_summarized,freyja_lineages,freyja_abundances,freyja_resid,seqyclean_PairsKept,seqyclean_Perc_Kept
ERR5181310,ERR5181310,B.1.525,21D (Eta),912571,912571,10999.1,99.6154,29734,0,35,33,0,0,67,0,29732,29799,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,0.000000,good,0.0,,Eta (B.1.525-like),1.0,0.0,scorpio call: Alt alleles 16; Ref alleles 0; Amb alleles 0; Oth alleles 0,PANGO-v1.8,4.0.6,0.3.17,v0.1.10,True,pass,Ambiguous_content:0.02,Assigned from designation hash.,[('Eta'  0.9995440000019115)],['B.1.525'],[0.999544],6.0230211922291605,909776,99.6937
ERR5181360,ERR5181360,B.1.525,21D (Eta),1500457,1500457,17923,99.8361,29746,0,32,37,0,0,2195,0,27633,29828,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,49.259602,mediocre,0.0,,Eta (B.1.525-like),0.94,0.0,scorpio call: Alt alleles 15; Ref alleles 0; Amb alleles 1; Oth alleles 0,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.09,Usher placements: B.1.525(8/8),[('Eta'  0.9994976652554511)],['B.1.525'],[0.99949767],6.485208364316353,1492260,99.4537
ERR5405022,ERR5405022,B.1.1.7,20I (Alpha  V1),154545,154545,1236.53,99.7525,28291,0,35,41,0,0,1512,0,28300,29812,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,20.150123,good,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.07,Usher placements: B.1.1.7(1/1),[('Alpha'  0.9994305239977794)],['Q.1'],[0.99943052],6.23424681110291,151242,97.8628
ERR5556343,ERR5556343,P.1,20J (Gamma  V3),216817,216817,2590.21,99.6656,27915,0,32,37,0,0,1838,0,27964,29802,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,32.447791,mediocre,0.4,,Gamma (P.1-like),0.88,0.0,scorpio call: Alt alleles 14; Ref alleles 0; Amb alleles 0; Oth alleles 2,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.08,Usher placements: P.1(3/5) P.1.12(1/5) P.1.3(1/5),[('Gamma'  0.9997100609955514)],['P.1.12'],[0.99971006],1.5196978493856381,215689,99.4797
ERR5691945,ERR5691945,B.1.351,20H (Beta  V2),1735046,1735046,20605.5,99.9766,29569,0,23,29,0,1,7666,0,22215,29881,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,744.279232,bad,0.0,,Beta (B.1.351-like),0.79,0.0,scorpio call: Alt alleles 11; Ref alleles 0; Amb alleles 1; Oth alleles 2,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.27,Usher placements: B.1.351(2/2),[('Beta'  0.9987345108397899)],['B.1.351'],[0.99873451],5.557750812666864,1723717,99.347
ERR5743043,ERR5743043,B.1.617.2,21J (Delta),1890053,1890053,22727.6,99.99,29639,0,26,38,0,0,9105,0,20789,29894,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,1063.484568,bad,,,Delta (B.1.617.2-like),0.69,0.0,scorpio call: Alt alleles 9; Ref alleles 0; Amb alleles 4; Oth alleles 0,SCORPIO_v0.1.10,4.0.6,0.3.17,v0.1.10,False,fail,Ambiguous_content:0.32,scorpio called lineage B.1.617.2,[('Delta'  0.9894888314014936)],['AY.1' 'AY.46.1'],[0.98787827 0.00161056],2.342570902566065,1883051,99.6295
ERR5743893,ERR5743893,B.1.617.1,21B (Kappa),198314,198314,1821.9,98.8095,27600,0,23,30,1,1,2246,0,27626,29872,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,72.953666,mediocre,0.0,,B.1.617.1-like,1.0,0.0,scorpio call: Alt alleles 11; Ref alleles 0; Amb alleles 0; Oth alleles 0,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.08,Usher placements: B.1.617.1(4/4),[('Kappa'  0.9999999999997385)],['B.1.617.1'],[1.],1.198380375868782,166710,84.0637
ERR5749609,ERR5749609,B.1.617.2,21J (Delta),2323723,2323723,27728,99.9833,29729,0,26,29,0,0,10326,1,19567,29894,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,1379.884444,bad,,,Delta (B.1.617.2-like),0.69,0.0,scorpio call: Alt alleles 9; Ref alleles 0; Amb alleles 4; Oth alleles 0,SCORPIO_v0.1.10,4.0.6,0.3.17,v0.1.10,False,fail,Ambiguous_content:0.36,scorpio called lineage B.1.617.2,[('Delta'  0.990006062828753)],['AY.46' 'AY.46.1'],[0.98859024 0.00141582],2.50549594192071,2315943,99.6652
ERR5771988,ERR5771988,B.1.617.1,21B (Kappa),1111192,1111192,13336.6,99.7826,29512,0,28,30,1,1,2618,0,27253,29871,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,107.733182,bad,0.0,,B.1.617.1-like,0.91,0.0,scorpio call: Alt alleles 10; Ref alleles 0; Amb alleles 1; Oth alleles 0,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.1,Usher placements: B.1.617.1(1/1),[('Kappa'  0.9997299999981215)],['B.1.617.1'],[0.99973],1.1430132476192507,1107889,99.7028
SRR11494584,SRR11494584,B.4.5,19A,604651,604651,5163.91,99.7425,29782,0,5,5,0,0,44,0,29782,29826,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,0.000000,good,0.0,,,,,,PANGO-v1.8,4.0.6,0.3.17,v0.1.10,True,pass,Ambiguous_content:0.02,Assigned from designation hash.,[('Other'  0.9970961030090059)],['B.4.5'],[0.9970961],1.5129100209719262,598174,98.9288
